policy,training_budget,seed,average_reward,wins,losses,draws
Random policy,0,100,-0.390695,27817,67902,4281
Random policy,0,101,-0.382955,28137,67467,4396
Random policy,0,102,-0.38457,28154,67650,4196
Random policy,0,103,-0.384045,28091,67516,4393
Random policy,0,104,-0.381205,28289,67426,4285
Random policy,0,105,-0.389335,27878,67858,4264
Random policy,0,106,-0.38253,28203,67493,4304
Random policy,0,107,-0.38573,28015,67634,4351
Random policy,0,108,-0.38582,28037,67658,4305
Random policy,0,109,-0.38701,27993,67694,4313
Reduced basic strategy,0,100,-0.026075,42935,47576,9489
Reduced basic strategy,0,101,-0.021225,43092,47285,9623
Reduced basic strategy,0,102,-0.0246,43057,47613,9330
Reduced basic strategy,0,103,-0.02499,43002,47529,9469
Reduced basic strategy,0,104,-0.024065,43057,47550,9393
Reduced basic strategy,0,105,-0.02337,43032,47506,9462
Reduced basic strategy,0,106,-0.02966,42747,47749,9504
Reduced basic strategy,0,107,-0.02252,43057,47376,9567
Reduced basic strategy,0,108,-0.028975,42788,47800,9412
Reduced basic strategy,0,109,-0.024185,42978,47470,9552
Q-learning agent,10000,100,-0.062255,41579,49838,8583
Q-learning agent,10000,101,-0.063705,41573,50014,8413
Q-learning agent,10000,102,-0.04511,42283,48890,8827
Q-learning agent,10000,103,-0.05653,41868,49549,8583
Q-learning agent,10000,104,-0.057855,41596,49468,8936
Q-learning agent,10000,105,-0.06485,41550,50172,8278
Q-learning agent,10000,106,-0.0641,41713,50159,8128
Q-learning agent,10000,107,-0.04875,42310,49252,8438
Q-learning agent,10000,108,-0.068255,41484,50424,8092
Q-learning agent,10000,109,-0.052255,41810,49109,9081
Q-learning agent,50000,100,-0.040225,42327,48383,9290
Q-learning agent,50000,101,-0.030675,42608,47746,9646
Q-learning agent,50000,102,-0.04502,42318,48916,8766
Q-learning agent,50000,103,-0.03888,42442,48358,9200
Q-learning agent,50000,104,-0.036015,42538,48226,9236
Q-learning agent,50000,105,-0.04473,42375,48985,8640
Q-learning agent,50000,106,-0.04485,42231,48752,9017
Q-learning agent,50000,107,-0.03691,42470,48228,9302
Q-learning agent,50000,108,-0.040825,42422,48619,8959
Q-learning agent,50000,109,-0.038235,42508,48405,9087
Q-learning agent,100000,100,-0.030185,42708,47760,9532
Q-learning agent,100000,101,-0.031265,42577,47774,9649
Q-learning agent,100000,102,-0.04459,42362,48917,8721
Q-learning agent,100000,103,-0.03421,42553,48002,9445
Q-learning agent,100000,104,-0.033495,42583,48019,9398
Q-learning agent,100000,105,-0.03397,42595,48129,9276
Q-learning agent,100000,106,-0.0382,42413,48269,9318
Q-learning agent,100000,107,-0.02769,42999,47835,9166
Q-learning agent,100000,108,-0.035105,42481,48106,9413
Q-learning agent,100000,109,-0.036415,42306,48021,9673
Q-learning agent,500000,100,-0.034755,42725,48234,9041
Q-learning agent,500000,101,-0.026005,42819,47490,9691
Q-learning agent,500000,102,-0.0271,43024,47830,9146
Q-learning agent,500000,103,-0.02785,42848,47661,9491
Q-learning agent,500000,104,-0.027415,42883,47711,9406
Q-learning agent,500000,105,-0.02522,42956,47615,9429
Q-learning agent,500000,106,-0.03494,42669,48199,9132
Q-learning agent,500000,107,-0.02851,42827,47745,9428
Q-learning agent,500000,108,-0.034025,42456,47973,9571
Q-learning agent,500000,109,-0.028225,42760,47656,9584
Q-learning agent,1000000,100,-0.030115,42840,47885,9275
Q-learning agent,1000000,101,-0.024455,42849,47365,9786
Q-learning agent,1000000,102,-0.02771,42923,47790,9287
Q-learning agent,1000000,103,-0.02659,42888,47575,9537
Q-learning agent,1000000,104,-0.026305,42810,47527,9663
Q-learning agent,1000000,105,-0.02562,42912,47611,9477
Q-learning agent,1000000,106,-0.03464,42416,47916,9668
Q-learning agent,1000000,107,-0.02902,42810,47779,9411
Q-learning agent,1000000,108,-0.031365,42720,47971,9309
Q-learning agent,1000000,109,-0.026815,42917,47672,9411
